Player,G,GS,PA,AB,H,1B,2B,3B,HR,SB,CS,BB,HBP,SH,SF,TBp,TBp / PA,,,
Gary Sanchez,49,45,178,156,23,9,4,0,10,0,0,18,4,0,0,79,0.443820225,,,
Jose Marmolejos,35,30,115,107,22,12,4,0,6,0,1,7,1,0,0,51,0.443478261,,,
Michael Chavis,42,40,158,146,31,19,5,2,5,3,0,8,2,0,2,70,0.443037975,,,
Corey Dickerson,52,51,210,194,50,37,5,1,7,1,1,15,0,0,0,93,0.442857143,,,
Josh Reddick,56,54,210,188,46,30,11,1,4,1,0,20,0,0,1,93,0.442857143,,,
Austin Hays,33,31,134,122,34,28,2,0,4,2,3,8,2,0,2,59,0.440298507,,,
Enrique Hernandez,48,32,148,139,32,18,8,1,5,0,1,6,2,0,1,65,0.439189189,,,
Carlos Correa,58,56,221,201,53,39,9,0,5,0,0,16,3,0,1,97,0.438914027,,,
Wilson Ramos,45,39,155,142,34,23,6,0,5,0,0,10,2,0,1,68,0.438709677,,,
Nick Solak,58,57,233,209,56,44,10,0,2,7,1,18,2,0,4,102,0.43776824,,,
Lewis Brinson,47,28,112,106,24,15,6,0,3,4,0,6,0,0,0,49,0.4375,,,
Hanser Alberto,54,53,231,219,62,44,15,0,3,3,0,5,3,2,2,101,0.437229437,,,
Paul DeJong,45,45,174,152,38,29,6,0,3,1,0,17,1,0,4,76,0.436781609,,,
Todd Frazier,45,42,172,157,37,23,9,1,4,1,1,11,4,0,0,75,0.436046512,,,
Albert Pujols,39,38,163,152,34,20,8,0,6,0,0,9,1,0,1,71,0.435582822,,,
Nick Markakis,37,33,141,130,33,17,15,0,1,0,1,10,1,0,0,61,0.432624113,,,
Matt Joyce,46,37,148,127,32,26,4,0,2,1,0,20,0,0,1,64,0.432432432,,,
Matt Carpenter,50,46,169,140,26,16,6,0,4,0,0,23,6,0,0,73,0.431952663,,,
J.P. Crawford,53,53,232,204,52,41,7,2,2,6,3,23,3,0,2,100,0.431034483,,,
Tim Lopes,46,38,151,143,34,20,12,0,2,5,0,6,2,0,0,65,0.430463576,,,
Yuli Gurriel,57,56,230,211,49,30,12,1,6,0,1,12,2,0,5,99,0.430434783,,,
