Player,G,GS,PA,AB,H,1B,2B,3B,HR,SB,CS,BB,HBP,SH,SF,TBp,TBp / PA,,,
Kyle Seager,60,59,248,203,49,28,12,0,9,5,0,32,7,0,6,138,0.556451613,,,
Bo Bichette,29,29,128,123,37,22,9,1,5,4,1,5,0,0,0,71,0.5546875,,,
Eugenio Suarez,57,57,231,198,40,17,8,0,15,2,0,30,2,0,1,128,0.554112554,,,
Wilmer Flores,55,50,213,198,53,29,11,1,12,1,0,13,1,0,1,118,0.55399061,,,
Jeimer Candelario,52,51,206,185,55,34,11,3,7,1,1,20,1,0,0,114,0.553398058,,,
Mike Moustakas,44,43,163,139,32,15,9,0,8,1,0,18,4,0,2,90,0.552147239,,,
Mark Canha,59,59,243,191,47,28,12,2,5,4,0,37,10,0,5,134,0.551440329,,,
Chris Taylor,56,49,214,185,50,30,10,2,8,3,2,26,2,1,0,118,0.551401869,,,
Sean Murphy,43,39,140,116,27,15,5,0,7,0,0,24,0,0,0,77,0.55,,,
Brad Miller,48,44,171,142,33,17,8,1,7,1,0,25,3,0,1,94,0.549707602,,,
Garrett Cooper,34,33,133,120,34,20,8,0,6,0,0,11,2,0,0,73,0.54887218,,,
Cavan Biggio,59,57,265,220,55,31,16,0,8,6,0,41,3,0,0,145,0.547169811,,,
